source	target
hsa_circ_0005147	hsa-let-7b-3p
hsa-let-7b-3p	GPR37
hsa-let-7b-3p	RSRP1
hsa-let-7b-3p	MARCKS
hsa_circ_0038095	hsa-let-7b-3p
hsa_circ_0008323	hsa-let-7c-5p
hsa-let-7c-5p	BSDC1
hsa-let-7c-5p	MKRN1
hsa_circ_0000676	hsa-let-7c-5p
hsa_circ_0051718	hsa-let-7c-5p
hsa_circ_0009006	hsa-let-7c-5p
hsa_circ_0002901	hsa-let-7c-5p
hsa_circ_0099201	hsa-let-7c-5p
hsa_circ_0016760	hsa-let-7c-5p
hsa_circ_0035301	hsa-let-7c-5p
hsa_circ_0099132	hsa-let-7c-5p
hsa_circ_0000442	hsa-let-7c-5p
hsa_circ_0086684	hsa-let-7c-5p
hsa_circ_0099201	hsa-let-7e-5p
hsa-let-7e-5p	TRIB1
hsa-let-7e-5p	PFKFB2
hsa-let-7e-5p	MAST1
hsa-let-7e-5p	FBXO45
hsa-let-7e-5p	TMC5
hsa-let-7e-5p	MARCKS
hsa-let-7e-5p	LMTK2
hsa-let-7e-5p	SYT7
hsa-let-7e-5p	BACE2
hsa-let-7e-5p	STARD3NL
hsa-let-7e-5p	FBXO6
hsa-let-7e-5p	VPS54
hsa-let-7e-5p	SLCO5A1
hsa-let-7e-5p	PACS1
hsa-let-7e-5p	MGAT5B
hsa-let-7e-5p	ZRANB2
hsa-let-7e-5p	TMEM151A
hsa-let-7e-5p	DHTKD1
hsa-let-7e-5p	SCAF4
hsa-let-7e-5p	WIPI2
hsa-let-7e-5p	BSDC1
hsa_circ_0076700	hsa-let-7e-5p
hsa_circ_0000038	hsa-let-7e-5p
hsa_circ_0003904	hsa-let-7e-5p
hsa_circ_0009006	hsa-let-7e-5p
hsa_circ_0051718	hsa-let-7e-5p
hsa_circ_0089153	hsa-let-7e-5p
hsa_circ_0002901	hsa-let-7e-5p
hsa_circ_0020704	hsa-let-7e-5p
hsa_circ_0086684	hsa-let-7e-5p
hsa_circ_0000442	hsa-let-7e-5p
hsa_circ_0008323	hsa-let-7e-5p
hsa_circ_0005147	hsa-let-7e-5p
hsa_circ_0026134	hsa-miR-107
hsa-miR-107	NPAS2
hsa-miR-107	SLC25A37
hsa-miR-107	TRIM59
hsa-miR-107	ASIC1
hsa-miR-107	KIF21A
hsa-miR-107	CKMT1A
hsa-miR-107	PACSIN1
hsa-miR-107	CDK17
hsa-miR-107	SCAMP5
hsa-miR-107	PPP3R1
hsa-miR-107	SIX4
hsa_circ_0000128	hsa-miR-107
hsa_circ_0038095	hsa-miR-107
hsa_circ_0002319	hsa-miR-107
hsa_circ_0000044	hsa-miR-107
hsa_circ_0002315	hsa-miR-107
hsa_circ_0008323	hsa-miR-107
hsa_circ_0003695	hsa-miR-107
hsa_circ_0000211	hsa-miR-107
hsa_circ_0003956	hsa-miR-107
hsa_circ_0017628	hsa-miR-107
hsa_circ_0000676	hsa-miR-107
hsa_circ_0035301	hsa-miR-107
hsa_circ_0023115	hsa-miR-107
hsa_circ_0006913	hsa-miR-107
hsa_circ_0045890	hsa-miR-107
hsa_circ_0006732	hsa-miR-107
hsa_circ_0017726	hsa-miR-107
hsa_circ_0067717	hsa-miR-107
hsa_circ_0004703	hsa-miR-107
hsa_circ_0001655	hsa-miR-107
hsa_circ_0000357	hsa-miR-107
hsa_circ_0000020	hsa-miR-125b-2-3p
hsa-miR-125b-2-3p	SCAMP5
hsa-miR-125b-2-3p	FBXO45
hsa-miR-125b-2-3p	ECHDC2
hsa-miR-125b-2-3p	RABIF
hsa-miR-125b-2-3p	BSDC1
hsa-miR-125b-2-3p	REPS1
hsa-miR-125b-2-3p	CFAP44
hsa-miR-125b-2-3p	LMTK2
hsa-miR-125b-2-3p	PRR13
hsa-miR-125b-2-3p	PBLD
hsa-miR-125b-2-3p	MKRN1
hsa-miR-125b-2-3p	PACSIN1
hsa-miR-125b-2-3p	ARPC1A
hsa-miR-125b-2-3p	ING5
hsa_circ_0106511	hsa-miR-125b-2-3p
hsa_circ_0031132	hsa-miR-125b-2-3p
hsa_circ_0002490	hsa-miR-125b-2-3p
hsa_circ_0055954	hsa-miR-125b-2-3p
hsa_circ_0000128	hsa-miR-125b-2-3p
hsa_circ_0059490	hsa-miR-125b-2-3p
hsa_circ_0035301	hsa-miR-125b-2-3p
hsa_circ_0036188	hsa-miR-125b-5p
hsa-miR-125b-5p	ASIC1
hsa-miR-125b-5p	IBA57
hsa-miR-125b-5p	BBC3
hsa-miR-125b-5p	TMEM63C
hsa-miR-125b-5p	CACNB3
hsa-miR-125b-5p	PCDHB10
hsa-miR-125b-5p	SMYD5
hsa-miR-125b-5p	TRIB1
hsa-miR-125b-5p	FBXO45
hsa-miR-125b-5p	RSRP1
hsa-miR-125b-5p	BACE2
hsa-miR-125b-5p	PDCL3
hsa_circ_0006784	hsa-miR-125b-5p
hsa_circ_0083054	hsa-miR-125b-5p
hsa_circ_0000442	hsa-miR-125b-5p
hsa_circ_0000129	hsa-miR-125b-5p
hsa_circ_0063408	hsa-miR-125b-5p
hsa_circ_0017726	hsa-miR-140-3p
hsa-miR-140-3p	MARCKS
hsa-miR-140-3p	ELAVL2
hsa-miR-140-3p	UBE2E3
hsa-miR-140-3p	EFHC1
hsa-miR-140-3p	ORMDL1
hsa-miR-140-3p	KIF21A
hsa-miR-140-3p	GDI1
hsa-miR-140-3p	MKRN1
hsa-miR-140-3p	MYPOP
hsa-miR-140-3p	ZNF138
hsa-miR-140-3p	ASIC1
hsa-miR-140-3p	GIT1
hsa-miR-140-3p	GJB2
hsa-miR-140-3p	PFKFB2
hsa_circ_0055954	hsa-miR-140-3p
hsa_circ_0005016	hsa-miR-140-3p
hsa_circ_0029325	hsa-miR-140-3p
hsa_circ_0111796	hsa-miR-140-3p
hsa_circ_0003079	hsa-miR-140-3p
hsa_circ_0000735	hsa-miR-193a-5p
hsa-miR-193a-5p	TMSB10
hsa-miR-193a-5p	HABP2
hsa-miR-193a-5p	NET1
hsa-miR-193a-5p	ING5
hsa-miR-193a-5p	PPP3R1
hsa-miR-193a-5p	PIGZ
hsa_circ_0036766	hsa-miR-193a-5p
hsa_circ_0016760	hsa-miR-193a-5p
hsa_circ_0080425	hsa-miR-193a-5p
hsa_circ_0008068	hsa-miR-193a-5p
hsa_circ_0027774	hsa-miR-193a-5p
hsa_circ_0063408	hsa-miR-193b-3p
hsa-miR-193b-3p	REPS1
hsa-miR-193b-3p	GJB2
hsa-miR-193b-3p	THUMPD2
hsa-miR-193b-3p	PPP3R1
hsa-miR-193b-3p	BSDC1
hsa-miR-193b-3p	LEF1
hsa-miR-193b-3p	ING5
hsa-miR-193b-3p	NET1
hsa-miR-193b-3p	WIPI2
hsa-miR-193b-3p	UBE2S
hsa-miR-193b-3p	CDK17
hsa_circ_0006758	hsa-miR-193b-3p
hsa_circ_0008323	hsa-miR-193b-3p
hsa_circ_0086684	hsa-miR-193b-3p
hsa_circ_0000204	hsa-miR-193b-3p
hsa_circ_0000357	hsa-miR-221-3p
hsa-miR-221-3p	MTERF4
hsa-miR-221-3p	MARCKS
hsa-miR-221-3p	NAPA
hsa-miR-221-3p	ELAVL2
hsa-miR-221-3p	SLC25A37
hsa-miR-221-3p	NUP43
hsa-miR-221-3p	BBC3
hsa-miR-221-3p	PPP3R1
hsa-miR-221-3p	IFRD1
hsa_circ_0031132	hsa-miR-221-3p
hsa_circ_0002901	hsa-miR-221-3p
hsa_circ_0002901	hsa-miR-222-3p
hsa-miR-222-3p	BBC3
hsa-miR-222-3p	SLC25A37
hsa-miR-222-3p	NUP43
hsa-miR-222-3p	BACE2
hsa-miR-222-3p	PPP3R1
hsa-miR-222-3p	MTERF4
hsa-miR-222-3p	GDI1
hsa-miR-222-3p	IFRD1
hsa_circ_0065149	hsa-miR-222-3p
hsa_circ_0000357	hsa-miR-222-3p
hsa_circ_0031132	hsa-miR-222-3p
hsa_circ_0052767	hsa-miR-23b-3p
hsa-miR-23b-3p	UBE2E3
hsa-miR-23b-3p	ARPC1A
hsa-miR-23b-3p	COX20
hsa-miR-23b-3p	C2orf68
hsa-miR-23b-3p	SLC25A37
hsa-miR-23b-3p	NUP43
hsa-miR-23b-3p	NELFB
hsa-miR-23b-3p	CDK17
hsa-miR-23b-3p	ORMDL1
hsa-miR-23b-3p	TRIM59
hsa-miR-23b-3p	HBQ1
hsa-miR-23b-3p	ELAVL2
hsa-miR-23b-3p	UBE2S
hsa-miR-23b-3p	STARD3NL
hsa-miR-23b-3p	PHF21B
hsa-miR-23b-3p	KIF21A
hsa-miR-23b-3p	HABP2
hsa-miR-23b-3p	MARCKS
hsa-miR-23b-3p	CATSPERB
hsa-miR-23b-3p	TRIB1
hsa-miR-23b-3p	NPAS2
hsa-miR-23b-3p	CFAP44
hsa-miR-23b-3p	PCDH1
hsa-miR-23b-3p	PACS1
hsa-miR-23b-3p	TTC9
hsa-miR-23b-3p	GALNT11
hsa-miR-23b-3p	GDI1
hsa-miR-23b-3p	FOXL2
hsa-miR-23b-3p	SIX4
hsa-miR-23b-3p	TBC1D8
hsa-miR-23b-3p	DHTKD1
hsa-miR-23b-3p	BSDC1
hsa-miR-23b-3p	KIFC2
hsa-miR-23b-3p	RWDD4
hsa-miR-23b-3p	SCAF4
hsa-miR-23b-3p	TTC31
hsa-miR-23b-3p	TMEM150C
hsa-miR-23b-3p	ZNF138
hsa-miR-23b-3p	POM121C
hsa-miR-23b-3p	GPR37
hsa-miR-23b-3p	SH3BGRL3
hsa-miR-23b-3p	NET1
hsa-miR-23b-3p	TLX1
hsa-miR-23b-3p	RPIA
hsa_circ_0008584	hsa-miR-23b-3p
hsa_circ_0015928	hsa-miR-23b-3p
hsa_circ_0039930	hsa-miR-23b-3p
hsa_circ_0086684	hsa-miR-23b-3p
hsa_circ_0001190	hsa-miR-23b-3p
hsa_circ_0000442	hsa-miR-26a-5p
hsa-miR-26a-5p	PFKFB2
hsa-miR-26a-5p	REG4
hsa-miR-26a-5p	POM121C
hsa-miR-26a-5p	REPS1
hsa-miR-26a-5p	BSDC1
hsa-miR-26a-5p	GPR37
hsa-miR-26a-5p	INHBB
hsa-miR-26a-5p	FBXO6
hsa-miR-26a-5p	NET1
hsa-miR-26a-5p	CAMKV
hsa-miR-26a-5p	ARF5
hsa-miR-26a-5p	RPIA
hsa-miR-26a-5p	CCDC14
hsa-miR-26a-5p	INPP5E
hsa-miR-26a-5p	BACE2
hsa-miR-26a-5p	HBQ1
hsa-miR-26a-5p	MTERF4
hsa-miR-26a-5p	LEF1
hsa-miR-26a-5p	INSM2
hsa-miR-26a-5p	TBC1D8
hsa-miR-26a-5p	TMEM150C
hsa-miR-26a-5p	GSAP
hsa-miR-26a-5p	SEC31B
hsa-miR-26a-5p	ZNF138
hsa-miR-26a-5p	GAD1
hsa-miR-26a-5p	ELAVL2
hsa-miR-26a-5p	GALNT10
hsa-miR-26a-5p	FBXO45
hsa-miR-26a-5p	PPP3R1
hsa-miR-26a-5p	ARPC1A
hsa-miR-26a-5p	PACSIN1
hsa-miR-26a-5p	MYPOP
hsa-miR-26a-5p	IFRD1
hsa-miR-26a-5p	PPP1R9A
hsa-miR-26a-5p	PFDN5
hsa_circ_0052767	hsa-miR-26a-5p
hsa_circ_0008323	hsa-miR-26a-5p
hsa_circ_0086684	hsa-miR-27b-3p
hsa-miR-27b-3p	BBC3
hsa-miR-27b-3p	CATSPERB
hsa-miR-27b-3p	BRSK2
hsa-miR-27b-3p	GALNT11
hsa-miR-27b-3p	DHTKD1
hsa-miR-27b-3p	ARPC1A
hsa-miR-27b-3p	KIF21A
hsa-miR-27b-3p	ING5
hsa-miR-27b-3p	FAM222A
hsa-miR-27b-3p	NET1
hsa-miR-27b-3p	REPS1
hsa-miR-27b-3p	NKAIN1
hsa-miR-27b-3p	TMSB10
hsa-miR-27b-3p	TRIB1
hsa-miR-27b-3p	POM121C
hsa-miR-27b-3p	WIPI2
hsa-miR-27b-3p	ASIC1
hsa-miR-27b-3p	INSM2
hsa-miR-27b-3p	RPIA
hsa-miR-27b-3p	MARCKS
hsa-miR-27b-3p	SLC13A3
hsa-miR-27b-3p	SLCO5A1
hsa-miR-27b-3p	NPTXR
hsa-miR-27b-3p	TRIM59
hsa-miR-27b-3p	FBXO45
hsa-miR-27b-3p	MTERF2
hsa-miR-27b-3p	BACE2
hsa-miR-27b-3p	GALNT10
hsa-miR-27b-3p	ELAVL2
hsa-miR-27b-3p	SIX4
hsa-miR-27b-3p	ZNF138
hsa_circ_0005479	hsa-miR-27b-3p
hsa_circ_0000735	hsa-miR-27b-3p
hsa_circ_0002157	hsa-miR-27b-3p
hsa_circ_0072904	hsa-miR-27b-3p
hsa_circ_0008584	hsa-miR-27b-3p
hsa_circ_0035301	hsa-miR-27b-3p
hsa_circ_0000442	hsa-miR-27b-3p
hsa_circ_0008068	hsa-miR-29a-3p
hsa-miR-29a-3p	ARF5
hsa-miR-29a-3p	GPR37
hsa-miR-29a-3p	FMOD
hsa-miR-29a-3p	KIFC2
hsa-miR-29a-3p	SYT7
hsa-miR-29a-3p	FBXO45
hsa-miR-29a-3p	NET1
hsa-miR-29a-3p	CCDC14
hsa-miR-29a-3p	OBSL1
hsa-miR-29a-3p	C2orf68
hsa-miR-29a-3p	P4HTM
hsa-miR-29a-3p	ZNF22
hsa-miR-29a-3p	EPHB3
hsa-miR-29a-3p	TTC9
hsa-miR-29a-3p	BBC3
hsa-miR-29a-3p	SCAMP5
hsa-miR-29a-3p	PAPSS1
hsa-miR-29a-3p	SGSM2
hsa-miR-29a-3p	ZNF862
hsa-miR-29a-3p	ZNF282
hsa-miR-29a-3p	IFRD1
hsa-miR-29a-3p	MARCKS
hsa-miR-29a-3p	BACE2
hsa_circ_0071374	hsa-miR-29a-3p
hsa_circ_0000357	hsa-miR-29a-3p
hsa_circ_0000647	hsa-miR-29a-3p
hsa_circ_0071649	hsa-miR-29a-3p
hsa_circ_0067492	hsa-miR-29a-3p
hsa_circ_0094004	hsa-miR-29a-3p
hsa_circ_0009043	hsa-miR-30a-3p
hsa-miR-30a-3p	PACS1
hsa-miR-30a-3p	CFAP44
hsa-miR-30a-3p	SIX4
hsa-miR-30a-3p	PFKFB2
hsa-miR-30a-3p	GALNT10
hsa-miR-30a-3p	SLC25A37
hsa-miR-30a-3p	ARPC1A
hsa-miR-30a-3p	ORMDL1
hsa-miR-30a-3p	NET1
hsa-miR-30a-3p	SCAF4
hsa-miR-30a-3p	TMEM150C
hsa-miR-30a-3p	PPP1R9A
hsa-miR-30a-3p	ZNF138
hsa_circ_0113080	hsa-miR-30a-3p
hsa_circ_0054853	hsa-miR-30a-3p
hsa_circ_0036188	hsa-miR-30a-3p
hsa_circ_0063226	hsa-miR-30a-3p
hsa_circ_0035301	hsa-miR-30a-3p
hsa_circ_0039930	hsa-miR-30a-3p
hsa_circ_0001278	hsa-miR-30c-5p
hsa-miR-30c-5p	ZRANB2
hsa-miR-30c-5p	UBE2E3
hsa-miR-30c-5p	CELF5
hsa-miR-30c-5p	PPP3R1
hsa-miR-30c-5p	MARCKS
hsa-miR-30c-5p	NET1
hsa-miR-30c-5p	FMOD
hsa-miR-30c-5p	CCDC14
hsa-miR-30c-5p	SIX4
hsa-miR-30c-5p	BUD31
hsa-miR-30c-5p	CAMKV
hsa-miR-30c-5p	CCDC120
hsa-miR-30c-5p	SLC25A37
hsa-miR-30c-5p	EBF2
hsa-miR-30c-5p	SLCO5A1
hsa-miR-30c-5p	CDK17
